ADC,Channel,VBR,VBR_Error
6,55,52.5699,0.000580472
6,56,6.92375e-310,6.95269e-310
6,57,52.5173,0.00042932
6,58,52.5186,0.000324358
6,59,52.5572,0.000215893
6,60,52.5113,0.000658504
6,61,52.536,0.00117511
6,62,52.6185,0.000521066
6,63,6.92375e-310,6.95269e-310
7,4,45.4524,0.513514
7,5,6.92375e-310,6.95269e-310
7,6,52.4035,0.000441605
7,7,6.92375e-310,6.95269e-310
7,8,6.92375e-310,6.95269e-310
7,9,6.92375e-310,6.95269e-310
7,10,52.4917,5.1409e-05
7,11,52.2703,0.000542379
7,12,52.3408,0.000597527
7,13,6.92375e-310,6.95269e-310
7,14,6.92375e-310,6.95269e-310
7,15,6.92375e-310,6.95269e-310
7,20,52.4921,2.30869e-05
7,21,6.92375e-310,6.95269e-310
7,22,52.3308,0.000315756
7,23,6.92375e-310,6.95269e-310
7,24,6.92375e-310,6.95269e-310
7,25,52.3324,0.000269465
7,26,52.4601,7.32806e-05
7,27,6.92375e-310,6.95269e-310
7,28,52.2812,0.000308055
7,29,6.92375e-310,6.95269e-310
7,30,6.92375e-310,6.95269e-310
7,31,6.92375e-310,6.95269e-310
7,36,6.92375e-310,6.95269e-310
7,37,6.92375e-310,6.95269e-310
7,38,6.92375e-310,6.95269e-310
7,39,52.3302,0.00030388
7,40,6.92375e-310,6.95269e-310
7,41,6.92375e-310,6.95269e-310
7,42,6.92375e-310,6.95269e-310
7,43,52.2676,0.000342271
7,44,6.92375e-310,6.95269e-310
7,45,6.92375e-310,6.95269e-310
7,46,6.92375e-310,6.95269e-310
7,47,6.92375e-310,6.95269e-310
7,52,6.92375e-310,6.95269e-310
7,53,6.92375e-310,6.95269e-310
7,54,52.4557,0.000173476
7,55,6.92375e-310,6.95269e-310
7,56,6.92375e-310,6.95269e-310
7,57,6.92375e-310,6.95269e-310
7,58,52.4324,0.00020673
7,59,6.92375e-310,6.95269e-310
7,60,6.92375e-310,6.95269e-310
7,61,6.92375e-310,6.95269e-310
7,62,52.4959,2.88899e-05
7,63,6.92375e-310,6.95269e-310
